trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
277,False,"{'a': 1, 'e': 0.06266200474215315}",25,14,17.09445717404636,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 1, 'e': 0.06203850737735829}",20,6,28.746492641364096,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 1, 'e': 0.06142121391500013}",25,15,17.070666149161205,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 1, 'e': 0.06081006262521795}",25,9,32.98515781888254,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 1, 'e': 0.06020499239237354}",25,14,20.069214408371312,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 1, 'e': 0.05960594270893937}",20,11,17.68584126115041,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 1, 'e': 0.05901285366944784}",25,19,12.094131689474704,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 1, 'e': 0.05842566596450083}",20,9,18.103577544349307,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 1, 'e': 0.057844320874838456}",25,3,35.6731593214025,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 1, 'e': 0.05726876026546736}",20,0,29.935723490555915,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
287,False,"{'a': 1, 'e': 0.0566989265798469}",20,6,26.895216613315384,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 1, 'e': 0.056134762834133725}",20,4,28.69174578626823,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 1, 'e': 0.05557621261148306}",25,7,6.444793250928079,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
290,False,"{'a': 1, 'e': 0.05502322005640723}",30,18,23.922796132888465,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 1, 'e': 0.05447572986918986}",25,15,19.90919226853385,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 1, 'e': 0.05393368730035602}",20,16,7.48865629833829,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 1, 'e': 0.053397038145197084}",30,18,23.39971686344822,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 1, 'e': 0.05286572873835037}",20,16,8.762023330339051,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 1, 'e': 0.05233970594843238}",20,16,7.54837178507071,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 1, 'e': 0.05181891717272583}",25,8,30.810311727378078,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 1, 'e': 0.05130331033191911}",30,4,44.96895798638464,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 1, 'e': 0.0507928338648985}",25,11,28.42032753905633,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 1, 'e': 0.050287436723591865}",30,7,44.515999419259174,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 1, 'e': 0.049787068367863944}",20,14,12.277096527468412,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,14,24.89051092046697,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,14,20.415770713131025,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,12,14.177521023168243,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,14,22.039389032108573,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,16,20.93301331421318,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,6,27.666987380601725,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,7,27.567744652138312,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,8,29.667576886037153,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,18,11.772532286285244,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,6,23.148674388500456,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
